iso3,is_oda_eligible,has_hlo,n_hlo_cycles,meets_adr0002_option1
GUY,TRUE,TRUE,3,TRUE
HKG,TRUE,TRUE,4,TRUE
HMD,FALSE,FALSE,0,FALSE
HND,TRUE,TRUE,3,TRUE
HRV,TRUE,TRUE,4,TRUE
HTI,TRUE,TRUE,3,TRUE
HUN,FALSE,TRUE,4,FALSE
IDN,TRUE,TRUE,4,TRUE
IMN,FALSE,FALSE,0,FALSE
IND,TRUE,TRUE,3,TRUE
IOT,FALSE,FALSE,0,FALSE
IRL,FALSE,TRUE,4,FALSE
IRN,TRUE,TRUE,4,TRUE
IRQ,TRUE,TRUE,3,TRUE
ISL,FALSE,TRUE,4,FALSE
ISR,TRUE,TRUE,4,TRUE
ITA,FALSE,TRUE,4,FALSE
JAM,TRUE,TRUE,3,TRUE
JEY,FALSE,FALSE,0,FALSE
JOR,TRUE,TRUE,4,TRUE
JPN,FALSE,TRUE,4,FALSE
KAZ,TRUE,TRUE,4,TRUE
KEN,TRUE,TRUE,4,TRUE
KGZ,TRUE,TRUE,3,TRUE
KHM,TRUE,TRUE,3,TRUE
KIR,TRUE,TRUE,3,TRUE
KNA,TRUE,TRUE,2,TRUE
KOR,TRUE,TRUE,4,TRUE
KWT,TRUE,TRUE,4,TRUE
LAO,TRUE,TRUE,3,TRUE
LBN,TRUE,TRUE,4,TRUE
LBR,TRUE,TRUE,3,TRUE
LBY,TRUE,FALSE,0,FALSE
LCA,TRUE,TRUE,2,TRUE
LIE,FALSE,FALSE,0,FALSE
LKA,TRUE,TRUE,3,TRUE
LSO,TRUE,TRUE,4,TRUE
LTU,FALSE,TRUE,4,FALSE
LUX,FALSE,TRUE,4,FALSE
LVA,FALSE,TRUE,4,FALSE
MAC,FALSE,TRUE,4,FALSE
MAF,FALSE,FALSE,0,FALSE
MAR,TRUE,TRUE,4,TRUE
MCO,FALSE,FALSE,0,FALSE
MDA,TRUE,TRUE,4,TRUE
MDG,TRUE,TRUE,4,TRUE
MDV,TRUE,FALSE,0,FALSE
MEX,TRUE,TRUE,4,TRUE
MHL,TRUE,TRUE,2,TRUE
MKD,TRUE,TRUE,4,TRUE
MLI,TRUE,TRUE,3,TRUE
MLT,TRUE,TRUE,4,TRUE
MMR,TRUE,TRUE,3,TRUE
MNE,TRUE,TRUE,4,TRUE
MNG,TRUE,TRUE,3,TRUE
MNP,TRUE,FALSE,0,FALSE
MOZ,TRUE,TRUE,3,TRUE
MRT,TRUE,TRUE,3,TRUE
MSR,TRUE,FALSE,0,FALSE
MTQ,FALSE,FALSE,0,FALSE
MUS,TRUE,TRUE,4,TRUE
MWI,TRUE,TRUE,4,TRUE
MYS,TRUE,TRUE,4,TRUE
MYT,TRUE,FALSE,0,FALSE
NAM,TRUE,TRUE,4,TRUE
NCL,TRUE,FALSE,0,FALSE
NER,TRUE,TRUE,3,TRUE
NFK,FALSE,FALSE,0,FALSE
NGA,TRUE,TRUE,3,TRUE
NIC,TRUE,TRUE,3,TRUE
NIU,TRUE,FALSE,0,FALSE
NLD,FALSE,TRUE,4,FALSE
NOR,FALSE,TRUE,4,FALSE
NPL,TRUE,TRUE,3,TRUE
NRU,TRUE,FALSE,0,FALSE
NZL,FALSE,TRUE,4,FALSE
OMN,TRUE,TRUE,4,TRUE
PAK,TRUE,TRUE,3,TRUE
PAN,TRUE,TRUE,4,TRUE
PCN,FALSE,FALSE,0,FALSE
PER,TRUE,TRUE,4,TRUE
PHL,TRUE,TRUE,3,TRUE
PLW,TRUE,TRUE,2,TRUE
PNG,TRUE,TRUE,3,TRUE
POL,FALSE,TRUE,4,FALSE
PRI,FALSE,FALSE,0,FALSE
PRK,TRUE,FALSE,0,FALSE
PRT,FALSE,TRUE,4,FALSE
PRY,TRUE,TRUE,4,TRUE
PSE,TRUE,TRUE,3,TRUE
PYF,TRUE,FALSE,0,FALSE
QAT,FALSE,TRUE,4,FALSE
REU,FALSE,FALSE,0,FALSE
ROU,FALSE,TRUE,4,FALSE
RUS,FALSE,TRUE,4,FALSE
RWA,TRUE,TRUE,3,TRUE
SAU,TRUE,TRUE,4,TRUE
SDN,TRUE,TRUE,3,TRUE
SEN,TRUE,TRUE,4,TRUE
SGP,TRUE,TRUE,4,TRUE
SGS,FALSE,FALSE,0,FALSE
SHN,TRUE,FALSE,0,FALSE
SJM,FALSE,FALSE,0,FALSE
SLB,TRUE,TRUE,3,TRUE
SLE,TRUE,TRUE,3,TRUE
SLV,TRUE,TRUE,3,TRUE
SMR,FALSE,FALSE,0,FALSE
SOM,TRUE,FALSE,0,FALSE
SPM,FALSE,FALSE,0,FALSE
SRB,TRUE,TRUE,4,TRUE
SSD,TRUE,TRUE,3,TRUE
STP,TRUE,FALSE,0,FALSE
SUR,TRUE,FALSE,0,FALSE
SVK,FALSE,TRUE,4,FALSE
SVN,TRUE,TRUE,4,TRUE
SWE,FALSE,TRUE,4,FALSE
SWZ,TRUE,TRUE,4,TRUE
SXM,FALSE,FALSE,0,FALSE
SYC,TRUE,TRUE,4,TRUE
SYR,TRUE,FALSE,0,FALSE
TCA,TRUE,FALSE,0,FALSE
TCD,TRUE,TRUE,4,TRUE
TGO,TRUE,TRUE,4,TRUE
THA,TRUE,TRUE,4,TRUE
TJK,TRUE,TRUE,3,TRUE
TKL,TRUE,FALSE,0,FALSE
TKM,TRUE,FALSE,0,FALSE
TLS,TRUE,TRUE,4,TRUE
TON,TRUE,TRUE,3,TRUE
TTO,TRUE,TRUE,4,TRUE
TUN,TRUE,TRUE,4,TRUE
TUR,TRUE,FALSE,0,FALSE
TUV,TRUE,TRUE,3,TRUE
TWN,TRUE,FALSE,0,FALSE
TZA,TRUE,TRUE,3,TRUE
UGA,TRUE,TRUE,4,TRUE
UKR,TRUE,TRUE,4,TRUE
UMI,FALSE,FALSE,0,FALSE
URY,TRUE,TRUE,4,TRUE
USA,FALSE,TRUE,4,FALSE
UZB,TRUE,TRUE,1,TRUE
VAT,FALSE,FALSE,0,FALSE
VCT,TRUE,TRUE,2,TRUE
VEN,TRUE,FALSE,0,FALSE
VGB,TRUE,FALSE,0,FALSE
VIR,FALSE,FALSE,0,FALSE
VNM,TRUE,FALSE,0,FALSE
VUT,TRUE,TRUE,3,TRUE
WLF,TRUE,FALSE,0,FALSE
WSM,TRUE,TRUE,2,TRUE
XKX,TRUE,FALSE,0,FALSE
YEM,TRUE,TRUE,3,TRUE
ZAF,TRUE,TRUE,4,TRUE
ZMB,TRUE,TRUE,4,TRUE
ZWE,TRUE,TRUE,4,TRUE
